model,N_train,seed,auc_val,auc_test,thr_val_bestbal,balacc_val_at_thr,acc_test_at_thr,balacc_test_at_thr,frac_pred_pos_test_at_thr,best_epoch,fit_eval_seconds,status
cnn_4ch,10000,0,0.5013388804224836,0.5008333615804026,0.49982428550720215,0.5040791127181343,0.42153,0.5002989934944637,0.66848,3,3.3113510608673096,ok
cnn_4ch,10000,1,0.49680124258400804,0.49864169574480066,0.5054595470428467,0.5007742223429571,0.60341,0.4994432936666301,0.2777,4,1.725205898284912,ok
cnn_4ch,10000,2,0.5050901049287814,0.500054395594683,0.508227527141571,0.5058716861813566,0.639,0.5011504535117808,0.20437,1,1.235948085784912,ok
cnn_4ch,30000,0,0.5033371293109875,0.49792361387811856,0.5018310546875,0.5040720140130552,0.48839,0.4994064321558781,0.52386,1,2.4978997707366943,ok
cnn_4ch,30000,1,0.49794067826021,0.5022569974961725,0.4972521960735321,0.5012200502949353,0.60326,0.5018984980193546,0.28213,2,2.4951469898223877,ok
cnn_4ch,30000,2,0.5004775464787105,0.499705288783231,0.46492767333984375,0.506024222960943,0.65855,0.4994298008719485,0.15964,5,3.446122169494629,ok
cnn_4ch,100000,0,0.5018430002897378,0.5000637069072617,0.5043272972106934,0.5044743146244969,0.47942,0.49905272072549867,0.54247,1,5.70610499382019,ok
cnn_4ch,100000,1,0.5014105190010462,0.501212892543527,0.4972560405731201,0.5039314059853028,0.69269,0.5003040020632377,0.08802,2,6.406883001327515,ok
cnn_4ch,100000,2,0.5023396148823206,0.4963683386635859,0.5032172799110413,0.5043062631492738,0.54412,0.4976798131333229,0.40167,5,9.01569414138794,ok
cnn_4ch,300000,0,0.5006104510291155,0.5004467025269855,0.4969930648803711,0.50326087515113,0.50847,0.49827408936067785,0.47898,1,15.029460191726685,ok
cnn_4ch,300000,1,0.5078640652213736,0.5009013374623874,0.4910465478897095,0.5096576053038011,0.48965,0.4992494386725469,0.5209,6,27.208989143371582,ok
cnn_4ch,300000,2,0.5073851577509533,0.49958171824834263,0.4973483085632324,0.508454500829467,0.42252,0.5020134843002226,0.66923,3,19.896950006484985,ok
cnn_4ch,850000,0,0.504843872153834,0.5018101314961332,0.5025061368942261,0.5059167991433026,0.54393,0.5005140764495095,0.40682,4,61.18816304206848,ok
cnn_4ch,850000,1,0.5064426054326023,0.4999738642658553,0.4987403452396393,0.5060416973220139,0.54224,0.4998760544236455,0.40937,4,61.28570008277893,ok
cnn_4ch,850000,2,0.5016380638046899,0.5013300310916896,0.5049840211868286,0.5042220137983865,0.38432,0.5006306716224513,0.74869,3,54.65751099586487,ok
