model,N_train,seed,frac_static_train,pos_weight,auc_val,thr_val_bestbal,balacc_val_at_thr,auc_test,acc_test_at_thr,balacc_test_at_thr,frac_pred_pos_test_at_thr,fit_eval_seconds,best_val_auc,epochs_run
mlp_onehot_aggressive,10000,0,0.2614,2.8255547054322876,0.5014382541621993,0.4084944427013397,0.5041720382641183,0.5017689086573365,0.38779,0.5021353689392983,0.74378,7.290348052978516,0.5014382541621993,9
mlp_onehot_aggressive,10000,1,0.2698,2.7064492216456633,0.5045077996961072,0.030619999393820763,0.50589525908631,0.4996794769252773,0.55974,0.4999489552191796,0.37203,6.437469005584717,0.5045077996961072,16
mlp_onehot_aggressive,10000,2,0.2664,2.7537537537537538,0.5047920711220969,0.4882906675338745,0.5065533163653952,0.5000189585251881,0.50363,0.4998510287201428,0.49198,3.2535269260406494,0.5047920711220969,7
mlp_onehot_aggressive,30000,0,0.26766666666666666,2.7359900373599,0.5074353253893539,0.6838216781616211,0.5075790995778051,0.5009560817484198,0.57559,0.4993871965707256,0.33716,6.54513692855835,0.5074353253893539,10
mlp_onehot_aggressive,30000,1,0.26666666666666666,2.75,0.49942774720049193,0.0034824672620743513,0.5014861256988281,0.5017789728669375,0.41858,0.499937471684849,0.67419,8.281477689743042,0.49942774720049193,14
mlp_onehot_aggressive,30000,2,0.2654,2.7678975131876413,0.5011637017823101,0.0014855320332571864,0.5032268371448745,0.49922915036186044,0.39793,0.4993069760709439,0.71734,9.881241083145142,0.5011637017823101,17
mlp_onehot_aggressive,100000,0,0.26776,2.7346877801015834,0.5020949270718233,0.5586108565330505,0.5045061083666038,0.4966939161000037,0.67038,0.5007170759573748,0.13647,9.38948917388916,0.5020949270718233,7
mlp_onehot_aggressive,100000,1,0.26544,2.767329716696805,0.5002400498678746,0.38556405901908875,0.5038050360246679,0.49998347770938306,0.40202,0.499118995106262,0.70827,11.30098295211792,0.5002400498678746,9
mlp_onehot_aggressive,100000,2,0.26551,2.7663364845015255,0.5017297462641458,0.4988809823989868,0.503319478092144,0.5001977903712131,0.59068,0.4996458986902248,0.30529,10.174272060394287,0.5017297462641458,8
mlp_onehot_aggressive,300000,0,0.26764,2.7363622776864447,0.5061429829552366,0.39539244771003723,0.5068235387791281,0.49946132635616625,0.51918,0.498953333202033,0.45719,42.70004415512085,0.5061429829552366,14
mlp_onehot_aggressive,300000,1,0.26533666666666667,2.7687968744111253,0.5054361068323727,0.1073455661535263,0.506333996464601,0.5009574831653032,0.5313,0.49908784568681575,0.43147,54.95891094207764,0.5054361068323727,18
mlp_onehot_aggressive,300000,2,0.26572666666666667,2.763265510926014,0.5049901314989174,0.4628736972808838,0.506258488359945,0.49716997163362875,0.40608,0.49575558844619755,0.69395,24.68896985054016,0.5049901314989174,8
mlp_onehot_aggressive,850000,0,0.2666129411764706,2.7507556669505475,0.5016166325050633,0.5267907977104187,0.5036563860503827,0.5054031840276525,0.58689,0.5035757584127284,0.31998,112.40201807022095,0.5016166325050633,14
mlp_onehot_aggressive,850000,1,0.2666129411764706,2.7507556669505475,0.501843918120592,0.45314717292785645,0.5046002780155396,0.50019900733728,0.31373,0.5005703111800038,0.8997,89.20663404464722,0.501843918120592,11
mlp_onehot_aggressive,850000,2,0.2666129411764706,2.7507556669505475,0.5071277605750052,0.5123718976974487,0.5094635740316391,0.5035684023811355,0.51187,0.5022048641741256,0.47828,97.18778705596924,0.5071277605750052,12
